ProvinceCode,Province,DistrictCode,District,ChiefdomCode,Chiefdom,SectionCode,Section,LocalityCode,Locality,chf,loc,CHIEFDOM_SECTION,geonm_placename,geonm_nm,geonm_altnm,geonm_long,geonm_lat,geonm_dist,osm_placename,osm_nm,osm_long,osm_lat,osm_dist
2.0,North ,1.0,BOMBALI,7.0,MAKARI GBANTI,2.0,MANGAY,2.0,MANGAY MANGAY LOKO,MAKARI GBANTI,LOKO,MAKARI GBANTI_MANGAY,LOKO,Matoko,Matoko,-12.13676,8.90353,3,LOKO,Laia,-12.1145028,8.8497131,3
2.0,North ,1.0,BOMBALI,7.0,MAKARI GBANTI,3.0,MANKENE,3.0,MANKENE MAKARI,MAKARI GBANTI,MAKARI,MAKARI GBANTI_MANKENE,MAKARI,Makari,Makari,-12.12524,8.86806,0,MAKARI,Makari,-12.1256,8.86762,0
2.0,North ,1.0,BOMBALI,7.0,MAKARI GBANTI,4.0,MASONGBO,4.0,MASONGBO FULLAH TOWN 1,MAKARI GBANTI,FULLAH  1,MAKARI GBANTI_MASONGBO,FULLAH  1,Panlap,Panlap,-12.03019,8.9179,7,FULLAH  1,Panlap,-12.0303,8.91908,7
2.0,North ,1.0,BOMBALI,7.0,MAKARI GBANTI,4.0,MASONGBO,5.0,MASONGBO KEREFAY LOKO,MAKARI GBANTI,KEREFAY LOKO,MAKARI GBANTI_MASONGBO,KEREFAY LOKO,Matoko,Matoko,-12.13676,8.90353,8,KEREFAY LOKO,Kolisoko,-12.1975418,8.7679561,8
2.0,North ,1.0,BOMBALI,7.0,MAKARI GBANTI,5.0,ROSINT,6.0,ROSINT PANLAP,MAKARI GBANTI,PANLAP,MAKARI GBANTI_ROSINT,PANLAP,Panlap,Panlap,-12.03019,8.9179,0,PANLAP,Panlap,-12.0303,8.91908,0
2.0,North ,1.0,BOMBALI,7.0,MAKARI GBANTI,6.0,TONKOBA,7.0,TONKOBA MABAIKULI,MAKARI GBANTI,MABAIKULI,MAKARI GBANTI_TONKOBA,MABAIKULI,Mabaio,Mabaio,-12.12932,8.93997,4,MABAIKULI,Mabaio,-12.1280411,8.938518,4
2.0,North ,1.0,BOMBALI,7.0,MAKARI GBANTI,6.0,TONKOBA,8.0,TONKOBA TONKOMBA,MAKARI GBANTI,TONKOMBA,MAKARI GBANTI_TONKOBA,TONKOMBA,Tongkomba,Tongkomba,-12.2649,8.86448,1,TONKOMBA,Tongkomba,-12.2677611,8.8745859,1
2.0,North ,1.0,BOMBALI,7.0,MAKARI GBANTI,7.0,YAINKASSA,9.0,YANIKASSA KOLISOKOH,MAKARI GBANTI,YANIKASSA KOLISOKOH,MAKARI GBANTI_YAINKASSA,YANIKASSA KOLISOKOH,Kolisoko,"Kaisoko,Kolisoko",-12.19735,8.76861,11,YANIKASSA KOLISOKOH,Kolisoko,-12.1975418,8.7679561,11
2.0,North ,1.0,BOMBALI,7.0,MAKARI GBANTI,7.0,YAINKASSA,10.0,YANIKASSA YANKASSA,MAKARI GBANTI,YANIKASSA YANKASSA,MAKARI GBANTI_YAINKASSA,YANIKASSA YANKASSA,Mayankan,Mayankan,-12.01735,8.85237,12,YANIKASSA YANKASSA,Mankane,-12.0323532,8.9074212,13
2.0,North ,1.0,BOMBALI,8.0,MAKENI TOWN,1.0,MASUBA,4.0,MASUBA FODAY LANE,BOMBALI SEBORA,FODAY LANE,MAKENI TOWN_MASUBA,FODAY LANE,Mankane,Mankane,-12.06589,8.85314,6,FODAY LANE,Mankane,-12.06586,8.8530056,6
2.0,North ,1.0,BOMBALI,8.0,MAKENI TOWN,2.0,STOCCO,5.0,STOCCO STOCCO,BOMBALI SEBORA,STOCCO,MAKENI TOWN_STOCCO,STOCCO,Tuma,Tuma,-12.06777,8.7045,5,STOCCO,Sowlia,-12.0017,8.93331,5
